,Team_1,Team_2,Winner,Winner_Pred,Margin,Run_Margin_pred,Wick_Margin_pred,Year
0,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,7 Wickets,67 Runs,6 Wickets,2010
1,India,Sri Lanka,Sri Lanka,India,5 Wickets,83 Runs,5 Wickets,2010
2,Bangladesh,India,India,India,6 Wickets,69 Runs,6 Wickets,2010
3,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,9 Wickets,67 Runs,6 Wickets,2010
4,India,Sri Lanka,India,India,8 Wickets,90 Runs,5 Wickets,2010
5,Bangladesh,India,India,India,6 Wickets,69 Runs,6 Wickets,2010
6,India,Sri Lanka,Sri Lanka,India,4 Wickets,83 Runs,5 Wickets,2010
7,Australia,Pakistan,Australia,Australia,5 Wickets,56 Runs,5 Wickets,2010
8,Australia,Pakistan,Australia,Australia,140 Runs,56 Runs,5 Wickets,2010
9,Australia,Pakistan,Australia,Australia,40 Runs,56 Runs,5 Wickets,2010
10,Australia,Pakistan,Australia,Australia,135 Runs,56 Runs,5 Wickets,2010
11,Australia,Pakistan,Australia,Australia,2 Wickets,56 Runs,5 Wickets,2010
12,New Zealand,Bangladesh,New Zealand,New Zealand,146 Runs,93 Runs,5 Wickets,2010
13,New Zealand,Bangladesh,New Zealand,New Zealand,5 Wickets,93 Runs,5 Wickets,2010
14,New Zealand,Bangladesh,New Zealand,New Zealand,3 Wickets,93 Runs,5 Wickets,2010
15,India,South Africa,India,India,1 Runs,63 Runs,6 Wickets,2010
16,India,South Africa,India,India,153 Runs,63 Runs,6 Wickets,2010
17,India,South Africa,South Africa,India,90 Runs,70 Runs,5 Wickets,2010
18,Bangladesh,England,England,England,6 Wickets,46 Runs,4 Wickets,2010
19,Bangladesh,England,England,England,2 Wickets,46 Runs,4 Wickets,2010
20,New Zealand,Australia,New Zealand,Australia,2 Wickets,37 Runs,5 Wickets,2010
21,Bangladesh,England,England,England,45 Runs,46 Runs,4 Wickets,2010
22,New Zealand,Australia,Australia,Australia,12 Runs,36 Runs,5 Wickets,2010
23,New Zealand,Australia,Australia,Australia,6 Wickets,36 Runs,5 Wickets,2010
24,New Zealand,Australia,Australia,Australia,6 Wickets,36 Runs,5 Wickets,2010
25,New Zealand,Australia,New Zealand,Australia,51 Runs,37 Runs,5 Wickets,2010
26,India,Sri Lanka,India,India,7 Wickets,90 Runs,5 Wickets,2010
27,India,Sri Lanka,Sri Lanka,India,6 Wickets,83 Runs,5 Wickets,2010
28,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,16 Runs,54 Runs,5 Wickets,2010
29,Bangladesh,India,India,India,6 Wickets,69 Runs,6 Wickets,2010
30,Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,126 Runs,83 Runs,6 Wickets,2010
31,India,Pakistan,India,India,3 Wickets,51 Runs,6 Wickets,2010
32,Bangladesh,Pakistan,Pakistan,Pakistan,139 Runs,60 Runs,5 Wickets,2010
33,Sri Lanka,India,Sri Lanka,India,7 Wickets,64 Runs,7 Wickets,2010
34,England,Australia,England,England,4 Wickets,56 Runs,5 Wickets,2010
35,Sri Lanka,India,India,India,81 Runs,68 Runs,6 Wickets,2010
36,England,Australia,England,England,4 Wickets,56 Runs,5 Wickets,2010
37,England,Australia,England,England,1 Runs,56 Runs,5 Wickets,2010
38,England,Australia,Australia,England,78 Runs,54 Runs,5 Wickets,2010
39,England,Australia,Australia,England,42 Runs,54 Runs,5 Wickets,2010
40,Netherlands,Afghanistan,Afghanistan,Afghanistan,6 Wickets,76 Runs,6 Wickets,2010
41,England,Bangladesh,England,England,6 Wickets,94 Runs,6 Wickets,2010
42,Netherlands,Afghanistan,Afghanistan,Afghanistan,5 Wickets,76 Runs,6 Wickets,2010
43,England,Bangladesh,Bangladesh,England,5 Runs,66 Runs,6 Wickets,2010
44,England,Bangladesh,England,England,144 Runs,94 Runs,6 Wickets,2010
45,Bangladesh,Netherlands,Netherlands,Bangladesh,6 Wickets,62 Runs,6 Wickets,2010
46,India,New Zealand,New Zealand,India,200 Runs,66 Runs,6 Wickets,2010
47,Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,3 Wickets,34 Runs,5 Wickets,2010
48,Sri Lanka,India,India,India,6 Wickets,68 Runs,6 Wickets,2010
49,Sri Lanka,India,Sri Lanka,India,8 Wickets,64 Runs,7 Wickets,2010
50,India,New Zealand,India,India,105 Runs,65 Runs,7 Wickets,2010
51,Sri Lanka,India,Sri Lanka,India,74 Runs,64 Runs,7 Wickets,2010
52,England,Pakistan,England,England,24 Runs,53 Runs,5 Wickets,2010
53,England,Pakistan,England,England,4 Wickets,53 Runs,5 Wickets,2010
54,England,Pakistan,Pakistan,England,23 Runs,40 Runs,5 Wickets,2010
55,England,Pakistan,Pakistan,England,38 Runs,40 Runs,5 Wickets,2010
56,England,Pakistan,England,England,121 Runs,53 Runs,5 Wickets,2010
57,Bangladesh,New Zealand,Bangladesh,Bangladesh,9 Runs,31 Runs,5 Wickets,2010
58,Bangladesh,New Zealand,Bangladesh,Bangladesh,7 Wickets,31 Runs,5 Wickets,2010
59,Bangladesh,New Zealand,Bangladesh,Bangladesh,9 Runs,31 Runs,5 Wickets,2010
60,Bangladesh,New Zealand,Bangladesh,Bangladesh,3 Runs,31 Runs,5 Wickets,2010
61,India,Australia,India,India,5 Wickets,37 Runs,6 Wickets,2010
62,Pakistan,South Africa,South Africa,South Africa,8 Wickets,33 Runs,6 Wickets,2010
63,Pakistan,South Africa,Pakistan,South Africa,1 Runs,24 Runs,6 Wickets,2010
64,Pakistan,South Africa,South Africa,South Africa,2 Runs,33 Runs,6 Wickets,2010
65,Australia,Sri Lanka,Sri Lanka,Sri Lanka,1 Runs,21 Runs,6 Wickets,2010
66,Australia,Sri Lanka,Sri Lanka,Sri Lanka,29 Runs,21 Runs,6 Wickets,2010
67,Pakistan,South Africa,Pakistan,South Africa,1 Runs,24 Runs,6 Wickets,2010
68,Australia,Sri Lanka,Australia,Sri Lanka,8 Wickets,38 Runs,6 Wickets,2010
69,Pakistan,South Africa,South Africa,South Africa,57 Runs,33 Runs,6 Wickets,2010
70,India,New Zealand,India,India,40 Runs,65 Runs,7 Wickets,2010
71,India,New Zealand,India,India,8 Wickets,65 Runs,7 Wickets,2010
72,India,New Zealand,India,India,9 Wickets,65 Runs,7 Wickets,2010
73,India,New Zealand,India,India,5 Wickets,65 Runs,7 Wickets,2010
74,India,New Zealand,India,India,8 Wickets,65 Runs,7 Wickets,2010
75,South Africa,India,South Africa,South Africa,135 Runs,70 Runs,5 Wickets,2011
76,South Africa,India,India,South Africa,1 Runs,58 Runs,5 Wickets,2011
77,Australia,England,Australia,Australia,6 Wickets,52 Runs,5 Wickets,2011
78,South Africa,India,India,South Africa,2 Wickets,58 Runs,5 Wickets,2011
79,Australia,England,Australia,Australia,46 Runs,52 Runs,5 Wickets,2011
80,South Africa,India,South Africa,South Africa,48 Runs,70 Runs,5 Wickets,2011
81,New Zealand,Pakistan,New Zealand,New Zealand,9 Wickets,57 Runs,5 Wickets,2011
82,Australia,England,Australia,Australia,4 Wickets,52 Runs,5 Wickets,2011
83,South Africa,India,South Africa,South Africa,33 Runs,70 Runs,5 Wickets,2011
84,Australia,England,England,Australia,21 Runs,39 Runs,5 Wickets,2011
85,New Zealand,Pakistan,Pakistan,New Zealand,43 Runs,48 Runs,5 Wickets,2011
86,Australia,England,Australia,Australia,51 Runs,52 Runs,5 Wickets,2011
87,New Zealand,Pakistan,Pakistan,New Zealand,2 Wickets,48 Runs,5 Wickets,2011
88,Australia,England,Australia,Australia,2 Wickets,52 Runs,5 Wickets,2011
89,New Zealand,Pakistan,Pakistan,New Zealand,41 Runs,48 Runs,5 Wickets,2011
90,New Zealand,Pakistan,New Zealand,New Zealand,57 Runs,57 Runs,5 Wickets,2011
91,Australia,England,Australia,Australia,57 Runs,52 Runs,5 Wickets,2011
92,Bangladesh,India,India,India,87 Runs,70 Runs,6 Wickets,2011
93,England,Netherlands,England,England,6 Wickets,94 Runs,6 Wickets,2011
94,Australia,New Zealand,Australia,Australia,7 Wickets,61 Runs,5 Wickets,2011
95,Sri Lanka,Pakistan,Pakistan,Sri Lanka,11 Runs,43 Runs,5 Wickets,2011
96,Netherlands,South Africa,South Africa,South Africa,231 Runs,102 Runs,7 Wickets,2011
97,England,South Africa,England,England,6 Runs,50 Runs,6 Wickets,2011
98,New Zealand,Pakistan,New Zealand,New Zealand,110 Runs,57 Runs,5 Wickets,2011
99,India,Netherlands,India,India,5 Wickets,92 Runs,6 Wickets,2011
100,Bangladesh,England,Bangladesh,England,2 Wickets,37 Runs,4 Wickets,2011
101,India,South Africa,South Africa,India,3 Wickets,71 Runs,5 Wickets,2011
102,Bangladesh,Netherlands,Bangladesh,Bangladesh,6 Wickets,65 Runs,6 Wickets,2011
103,New Zealand,Sri Lanka,Sri Lanka,New Zealand,112 Runs,63 Runs,6 Wickets,2011
104,Bangladesh,South Africa,South Africa,South Africa,206 Runs,93 Runs,7 Wickets,2011
105,Australia,Pakistan,Pakistan,Australia,4 Wickets,48 Runs,5 Wickets,2011
106,India,Australia,India,India,5 Wickets,37 Runs,6 Wickets,2011
107,New Zealand,South Africa,New Zealand,South Africa,49 Runs,49 Runs,5 Wickets,2011
108,Sri Lanka,England,Sri Lanka,Sri Lanka,10 Wickets,51 Runs,7 Wickets,2011
109,Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,5 Wickets,35 Runs,5 Wickets,2011
110,India,Pakistan,India,India,29 Runs,51 Runs,6 Wickets,2011
111,India,Sri Lanka,India,India,6 Wickets,90 Runs,5 Wickets,2011
112,Bangladesh,Australia,Australia,Australia,60 Runs,51 Runs,6 Wickets,2011
113,Bangladesh,Australia,Australia,Australia,9 Wickets,51 Runs,6 Wickets,2011
114,Bangladesh,Australia,Australia,Australia,66 Runs,51 Runs,6 Wickets,2011
115,England,Sri Lanka,England,Sri Lanka,110 Runs,64 Runs,7 Wickets,2011
116,England,Sri Lanka,Sri Lanka,Sri Lanka,69 Runs,53 Runs,7 Wickets,2011
117,England,Sri Lanka,Sri Lanka,Sri Lanka,6 Wickets,53 Runs,7 Wickets,2011
118,England,Sri Lanka,England,Sri Lanka,10 Wickets,64 Runs,7 Wickets,2011
119,England,Sri Lanka,England,Sri Lanka,16 Runs,64 Runs,7 Wickets,2011
120,Sri Lanka,Australia,Australia,Australia,7 Wickets,49 Runs,6 Wickets,2011
121,Sri Lanka,Australia,Australia,Australia,8 Wickets,49 Runs,6 Wickets,2011
122,Sri Lanka,Australia,Sri Lanka,Australia,78 Runs,53 Runs,6 Wickets,2011
123,Sri Lanka,Australia,Australia,Australia,5 Wickets,49 Runs,6 Wickets,2011
124,Sri Lanka,Australia,Sri Lanka,Australia,4 Wickets,53 Runs,6 Wickets,2011
125,England,India,England,England,7 Wickets,55 Runs,6 Wickets,2011
126,England,India,England,England,3 Wickets,55 Runs,6 Wickets,2011
127,England,India,England,England,6 Wickets,55 Runs,6 Wickets,2011
128,India,England,India,India,126 Runs,61 Runs,6 Wickets,2011
129,India,England,India,India,8 Wickets,61 Runs,6 Wickets,2011
130,South Africa,Australia,Australia,South Africa,93 Runs,65 Runs,4 Wickets,2011
131,India,England,India,India,5 Wickets,61 Runs,6 Wickets,2011
132,India,England,India,India,6 Wickets,61 Runs,6 Wickets,2011
133,South Africa,Australia,South Africa,South Africa,80 Runs,67 Runs,5 Wickets,2011
134,India,England,India,India,95 Runs,61 Runs,6 Wickets,2011
135,South Africa,Australia,Australia,South Africa,3 Wickets,65 Runs,4 Wickets,2011
136,Pakistan,Sri Lanka,Pakistan,Pakistan,8 Wickets,41 Runs,5 Wickets,2011
137,Pakistan,Sri Lanka,Sri Lanka,Pakistan,25 Runs,31 Runs,4 Wickets,2011
138,Pakistan,Sri Lanka,Pakistan,Pakistan,21 Runs,41 Runs,5 Wickets,2011
139,Pakistan,Sri Lanka,Pakistan,Pakistan,26 Runs,41 Runs,5 Wickets,2011
140,Pakistan,Sri Lanka,Pakistan,Pakistan,3 Wickets,41 Runs,5 Wickets,2011
141,Bangladesh,Pakistan,Pakistan,Pakistan,5 Wickets,59 Runs,5 Wickets,2011
142,Bangladesh,Pakistan,Pakistan,Pakistan,76 Runs,59 Runs,5 Wickets,2011
143,Bangladesh,Pakistan,Pakistan,Pakistan,58 Runs,59 Runs,5 Wickets,2011
144,South Africa,Sri Lanka,South Africa,South Africa,258 Runs,51 Runs,6 Wickets,2012
145,South Africa,Sri Lanka,South Africa,South Africa,5 Wickets,51 Runs,6 Wickets,2012
146,South Africa,Sri Lanka,South Africa,South Africa,4 Runs,51 Runs,6 Wickets,2012
147,South Africa,Sri Lanka,Sri Lanka,South Africa,5 Wickets,43 Runs,6 Wickets,2012
148,South Africa,Sri Lanka,Sri Lanka,South Africa,2 Wickets,43 Runs,6 Wickets,2012
149,Australia,India,Australia,Australia,65 Runs,62 Runs,5 Wickets,2012
150,India,Sri Lanka,India,India,4 Wickets,85 Runs,5 Wickets,2012
151,Australia,Sri Lanka,Australia,Sri Lanka,5 Runs,35 Runs,6 Wickets,2012
152,Afghanistan,Pakistan,Pakistan,Pakistan,7 Wickets,53 Runs,5 Wickets,2012
153,Australia,India,India,Australia,4 Wickets,49 Runs,5 Wickets,2012
154,England,Pakistan,England,England,130 Runs,55 Runs,5 Wickets,2012
155,England,Pakistan,England,England,20 Runs,55 Runs,5 Wickets,2012
156,Australia,Sri Lanka,Sri Lanka,Sri Lanka,8 Wickets,19 Runs,6 Wickets,2012
157,England,Pakistan,England,England,9 Wickets,55 Runs,5 Wickets,2012
158,Australia,India,Australia,Australia,110 Runs,62 Runs,5 Wickets,2012
159,India,Sri Lanka,Sri Lanka,India,51 Runs,79 Runs,5 Wickets,2012
160,England,Pakistan,England,England,4 Wickets,55 Runs,5 Wickets,2012
161,Australia,Sri Lanka,Sri Lanka,Sri Lanka,3 Wickets,19 Runs,6 Wickets,2012
162,New Zealand,South Africa,South Africa,South Africa,6 Wickets,50 Runs,5 Wickets,2012
163,Australia,India,Australia,Australia,87 Runs,62 Runs,5 Wickets,2012
164,India,Sri Lanka,India,India,7 Wickets,85 Runs,5 Wickets,2012
165,New Zealand,South Africa,South Africa,South Africa,6 Wickets,50 Runs,5 Wickets,2012
166,Australia,Sri Lanka,Sri Lanka,Sri Lanka,9 Runs,19 Runs,6 Wickets,2012
167,New Zealand,South Africa,South Africa,South Africa,5 Wickets,50 Runs,5 Wickets,2012
168,Australia,Sri Lanka,Australia,Sri Lanka,15 Runs,35 Runs,6 Wickets,2012
169,Australia,Sri Lanka,Sri Lanka,Sri Lanka,8 Wickets,19 Runs,6 Wickets,2012
170,Australia,Sri Lanka,Australia,Sri Lanka,16 Runs,35 Runs,6 Wickets,2012
171,Bangladesh,Pakistan,Pakistan,Pakistan,21 Runs,53 Runs,5 Wickets,2012
172,India,Sri Lanka,India,India,50 Runs,85 Runs,5 Wickets,2012
173,Pakistan,Sri Lanka,Pakistan,Pakistan,6 Wickets,39 Runs,5 Wickets,2012
174,Bangladesh,India,Bangladesh,India,5 Wickets,52 Runs,6 Wickets,2012
175,India,Pakistan,India,India,6 Wickets,49 Runs,6 Wickets,2012
