,Team_1,Team_2,Date,Location,Winner,Run Margin,Wicket Margin
0,England,New Zealand,5/10/2023,"Narendra Modi Stadium, Ahmedabad",New Zealand,58 Runs,5 Wickets
1,Pakistan ,Netherlands,6/10/2023,"Rajiv Gandhi International Stadium, Hyderabad",Pakistan ,81 Runs,6 Wickets
2,Bangladesh,Afghanistan,7/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,78 Runs,5 Wickets
3,South Africa,Sri Lanka,7/10/2023,"Arun Jaitley Stadium, Delhi",South Africa,92 Runs,6 Wickets
4,India,Australia,8/10/2023,"MA Chidambaram Stadium, Chennai",India,36 Runs,7 Wickets
5,New Zealand,Netherlands,9/10/2023,"Rajiv Gandhi International Stadium, Hyderabad",New Zealand,106 Runs,7 Wickets
6,England,Bangladesh,10/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",England,82 Runs,7 Wickets
7,India,Afghanistan,11/10/2023,"Arun Jaitley Stadium, Delhi",India,106 Runs,6 Wickets
8,Pakistan ,Sri Lanka,12/10/2023,"Rajiv Gandhi International Stadium, Hyderabad",Pakistan ,62 Runs,5 Wickets
9,Australia,South Africa,13/10/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",South Africa,38 Runs,5 Wickets
10,New Zealand,Bangladesh,14/10/2023,"MA Chidambaram Stadium, Chennai",New Zealand,101 Runs,7 Wickets
11,England,Afghanistan,14/10/2023,"Arun Jaitley Stadium, Delhi",England,103 Runs,5 Wickets
12,India,Pakistan,15/10/2023,"Narendra Modi Stadium, Ahmedabad",India,56 Runs,7 Wickets
13,Australia,Sri Lanka,16/10/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Australia,61 Runs,6 Wickets
14,South Africa,Netherlands,17/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",South Africa,101 Runs,7 Wickets
15,New Zealand,Afghanistan,18/10/2023,"MA Chidambaram Stadium, Chennai",New Zealand,102 Runs,6 Wickets
16,India,Bangladesh,19/10/2023,"Maharashtra Cricket Association Stadium, Pune",India,105 Runs,7 Wickets
17,Australia,Pakistan,20/10/2023,"M.Chinnaswamy Stadium, Bengaluru",Australia,50 Runs,6 Wickets
18,Netherlands,Sri Lanka,21/10/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Netherlands,101 Runs,7 Wickets
19,England,South Africa,21/10/2023,"Wankhede Stadium, Mumbai",South Africa,54 Runs,6 Wickets
20,India,New Zealand,22/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",India,58 Runs,6 Wickets
21,Pakistan ,Afghanistan,23/10/2023,"MA Chidambaram Stadium, Chennai",Pakistan ,91 Runs,5 Wickets
22,South Africa,Bangladesh,24/10/2023,"Wankhede Stadium, Mumbai",South Africa,91 Runs,7 Wickets
23,Australia,Netherlands,25/10/2023,"Arun Jaitley Stadium, Delhi",Australia,86 Runs,6 Wickets
24,England,Sri Lanka,26/10/2023,"M.Chinnaswamy Stadium, Bengaluru",England,84 Runs,7 Wickets
25,Pakistan ,South Africa,27/10/2023,"MA Chidambaram Stadium, Chennai",South Africa,39 Runs,6 Wickets
26,Australia,New Zealand,28/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",New Zealand,55 Runs,4 Wickets
27,Netherlands,Bangladesh,28/10/2023,"Eden Gardens, Kolkata",Netherlands,87 Runs,7 Wickets
28,India,England,29/10/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",India,59 Runs,6 Wickets
29,Afghanistan,Sri Lanka,30/10/2023,"Maharashtra Cricket Association Stadium, Pune",Afghanistan,87 Runs,6 Wickets
30,Pakistan ,Bangladesh,31/10/2023,"Eden Gardens, Kolkata",Pakistan ,71 Runs,6 Wickets
31,New Zealand,South Africa,1/11/2023,"Maharashtra Cricket Association Stadium, Pune",South Africa,57 Runs,6 Wickets
32,India,Sri Lanka,2/11/2023,"Wankhede Stadium, Mumbai",India,117 Runs,6 Wickets
33,Netherlands,Afghanistan,3/11/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Netherlands,91 Runs,6 Wickets
34,New Zealand,Pakistan,4/11/2023,"M.Chinnaswamy Stadium, Bengaluru",New Zealand,55 Runs,6 Wickets
35,England,Australia,4/11/2023,"Narendra Modi Stadium, Ahmedabad",England,47 Runs,6 Wickets
36,India,South Africa,5/11/2023,"Eden Gardens, Kolkata",India,50 Runs,7 Wickets
37,Bangladesh,Sri Lanka,6/11/2023,"Arun Jaitley Stadium, Delhi",Bangladesh,95 Runs,6 Wickets
38,Australia,Afghanistan,7/11/2023,"Wankhede Stadium, Mumbai",Australia,102 Runs,5 Wickets
39,England,Netherlands,8/11/2023,"Maharashtra Cricket Association Stadium, Pune",England,94 Runs,7 Wickets
40,New Zealand,Sri Lanka,9/11/2023,"M.Chinnaswamy Stadium, Bengaluru",New Zealand,95 Runs,6 Wickets
41,South Africa,Afghanistan,10/11/2023,"Narendra Modi Stadium, Ahmedabad",South Africa,98 Runs,6 Wickets
42,India,Netherlands,11/11/2023,"M.Chinnaswamy Stadium, Bengaluru",India,109 Runs,6 Wickets
43,Australia,Bangladesh,12/11/2023,"Maharashtra Cricket Association Stadium, Pune",Australia,73 Runs,6 Wickets
44,England,Pakistan,12/11/2023,"Eden Gardens, Kolkata",England,50 Runs,6 Wickets
